game_number,120,150,180,210,240,300,label_code,label,predicted_limit,predicted_direction,correct
197,0.08431620462870462,0.31067775974025974,0.17567047535797534,0.3453034465534466,0.07778211371961372,0.00625,3,180,210,Under,True
198,0.1485813492063492,0.3704247835497835,0.22011002886002884,0.18563492063492062,0.03941558441558442,0.03583333333333333,1,120,180,Under,True
199,0.07783348595848595,0.18649468586968584,0.32149676712176706,0.29584956709956706,0.10617271617271618,0.012152777777777778,6,300,210,Under,False
200,0.05579212454212453,0.2624184149184149,0.31286498223998227,0.26675040237540226,0.09661852036852037,0.005555555555555555,2,150,210,Under,True
201,0.05132177871148459,0.14115662931839407,0.3278771432815551,0.4348802096596214,0.0399031279178338,0.00486111111111111,3,180,210,Under,True
202,0.07819499944499946,0.26413836163836163,0.3504199966699966,0.19652999777999774,0.09362068487068488,0.017095959595959595,4,210,180,Under,False
203,0.02718253968253968,0.25880341880341884,0.3255776862026862,0.33575223387723396,0.043268537018537015,0.009415584415584415,3,180,210,Under,True
204,0.09268696581196581,0.25065302752802754,0.35348214285714286,0.2254794511044511,0.0776984126984127,0.0,5,240,180,Under,False
205,0.1029424497071556,0.2526793427161074,0.34191038536626767,0.2566114114643526,0.024536966301672184,0.021319444444444443,3,180,180,Under,True
206,0.03528339715839716,0.38377195720945717,0.28684208152958146,0.22120879120879122,0.06904761904761905,0.0038461538461538464,4,210,180,Under,False
207,0.10078373015873017,0.23048243423243422,0.3179618298368298,0.3164466089466089,0.03432539682539683,0.0,3,180,210,Under,True
208,0.03229166666666667,0.10862103174603174,0.32095734126984127,0.44244543650793655,0.0670734126984127,0.028611111111111108,3,180,210,Under,True
209,0.12539051226551226,0.26325396825396824,0.397967796092796,0.19227661227661225,0.012777777777777777,0.008333333333333333,4,210,180,Under,False
